"time","ab"
2016-07-06,20476.3719598026
2016-07-07,20237.6895070718
2016-07-08,20028.3518128801
2016-07-09,19848.2082219155
2016-07-10,19696.9538574989
2016-07-11,19574.1571736817
2016-07-12,19479.2881032709
2016-07-13,19411.7455054907
2016-07-14,19370.8828517712
2016-07-15,19356.0313723346
2016-07-16,19366.5201858993
2016-07-17,19401.6932201142
2016-07-18,19460.9229783286
2016-07-19,19543.6214042171
2016-07-20,19649.2482326805
2016-07-21,19777.3172931207
2016-07-22,19927.401254273
2016-07-23,20099.1352759738
2016-07-24,20292.2199715391
2016-07-25,20506.4239939307
2016-07-26,20741.5864479053
2016-07-27,20997.6192061072
2016-07-28,21274.5090756876
2016-07-29,21572.3196288431
2016-07-30,21891.1923806646
2016-07-31,22231.3468761493
2016-08-01,22593.0791411928
2016-08-02,22976.7578671587
2016-08-03,23382.8176439694
2016-08-04,23811.7485427095
2016-08-05,24264.081386486
2016-08-06,24740.3681486332
2016-08-07,25241.1570894772
2016-08-08,25766.9624923225
2016-08-09,26318.2291855214
2016-08-10,26895.2924314823
2016-08-11,27498.3342058627
2016-08-12,28127.3373503044
2016-08-13,28782.0395185815
2016-08-14,29461.8891997646
2016-08-15,30166.0063410284
2016-08-16,30893.1501592814
2016-08-17,31641.6965895203
2016-08-18,32409.6274533942
2016-08-19,33194.5328545853
2016-08-20,33993.6275569201
2016-08-21,34803.7812408703
2016-08-22,35621.5616466228
2016-08-23,36443.2887866629
2016-08-24,37265.0977312724
2016-08-25,38083.0070019247
2016-08-26,38892.9893883781
2016-08-27,39691.0420421475
2016-08-28,40473.2529684736
2016-08-29,41235.8614932993
2016-08-30,41975.3108583038
2016-08-31,42688.2917281885
2016-09-01,43371.7760170516
2016-09-02,44023.0410034296
2016-09-03,44639.6841705186
2016-09-04,45219.6295600542
2016-09-05,45761.1266611648
2016-09-06,46262.7429772201
2016-09-07,46723.3514404034
2016-09-08,47142.1137960966
2016-09-09,47518.4609789812
2016-09-10,47852.0713707142
2016-09-11,48142.8476829907
2016-09-12,48390.8930642551
2016-09-13,48596.4868940023
2016-09-14,48760.060612995
2016-09-15,48882.1738453115
2016-09-16,48963.4910011376
2016-09-17,49004.758508022
2016-09-18,49006.7828019076
2016-09-19,48970.4092155791
2016-09-20,48896.5019282133
2016-09-21,48785.9251816218
2016-09-22,48639.5260217492
2016-09-23,48458.1188822903
2016-09-24,48242.4723840994
2016-09-25,47993.2987716294
2016-09-26,47711.2464373525
2016-09-27,47396.895988048
2016-09-28,47050.7602743417
2016-09-29,46673.2887296114
2016-09-30,46264.8762414304
2016-10-01,45825.876607046
2016-10-02,45356.6204078649
2016-10-03,44857.4368864185
2016-10-04,44328.679138804
2016-10-05,43770.7516678167
2016-10-06,43184.1391025087
2016-10-07,42569.4347057435
2016-10-08,41927.3671874094
2016-10-09,41258.8243365289
2016-10-10,40564.8720906074
2016-10-11,39846.767873821
2016-10-12,39105.9673432525
2016-10-13,38344.1240594623
2016-10-14,37563.0820108788
2016-10-15,36764.8613335556
2016-10-16,35951.6379422506
2016-10-17,35125.7180946299
2016-10-18,34289.5091258017
2016-10-19,33445.4877046756
2016-10-20,32596.1669773977
2016-10-21,31744.0638869231
2016-10-22,30891.6678095065
2016-10-23,30041.4114505938
2016-10-24,29195.6447172631
2016-10-25,28356.6120533667
2016-10-26,27526.4335044767
2016-10-27,26707.0895857104
2016-10-28,25900.4098645159
2016-10-29,25108.0650461132
2016-10-30,24331.5622612516
2016-10-31,23572.2432013007
2016-11-01,22831.284719687
2016-11-02,22109.701515728
2016-11-03,21408.3505312549
2016-11-04,20727.9367166933
2016-11-05,20069.0198568157
2016-11-06,19432.022183387
2016-11-07,18817.2365394661
2016-11-08,18224.8348961425
2016-11-09,17654.8770556061
2016-11-10,17107.3194039659
2016-11-11,16582.0236028372
2016-11-12,16078.7651305125
2016-11-13,15597.241601785
2016-11-14,15137.0808106507
2016-11-15,14697.8484526505
2016-11-16,14279.0554940308
2016-11-17,13880.1651636356
2016-11-18,13500.5995509093
2016-11-19,13139.7457998838
2016-11-20,12796.9618948075
2016-11-21,12471.5820382881
2016-11-22,12162.9216275836
2016-11-23,11870.281839001
2016-11-24,11592.9538342586
2016-11-25,11330.2226060851
2016-11-26,11081.3704832098
2016-11-27,10845.6803171823
2016-11-28,10622.4383750808
2016-11-29,10410.936963081
2016-11-30,10210.4768060433
2016-12-01,10020.3692077274
2016-12-02,9839.93801500104
2016-12-03,9668.52140753273
2016-12-04,9505.47353205053
2016-12-05,9350.16599742098
2016-12-06,9201.98924372142
2016-12-07,9060.35379529474
2016-12-08,8924.69140467703
2016-12-09,8794.45609144171
2016-12-10,8669.1250775808
2016-12-11,8548.19961917868
2016-12-12,8431.20573294479
2016-12-13,8317.69481571953
2016-12-14,8207.24415538344
2016-12-15,8099.45733265474
2016-12-16,7993.96451498832
2016-12-17,7890.4226460852
2016-12-18,7788.51553724729
2016-12-19,7687.95386982161
2016-12-20,7588.47512111265
2016-12-21,7489.84342925839
2016-12-22,7391.84941553301
2016-12-23,7294.30998525378
2016-12-24,7197.0681308482
2016-12-25,7099.99276262275
2016-12-26,7002.97859432171
2016-12-27,6905.94611164149
2016-12-28,6808.84165243231
2016-12-29,6711.6376273291
2016-12-30,6614.33290893337
2016-12-31,6516.95341632357
2017-01-01,6419.55291947016
2017-01-02,6322.21408491667
2017-01-03,6225.04977967049
2017-01-04,6128.20464442674
2017-01-05,6031.85693981746
2017-01-06,5936.22066015557
2017-01-07,5841.54789798288
2017-01-08,5748.13142957573
2017-01-09,5656.30747645438
2017-01-10,5566.4585810887
2017-01-11,5479.01651677588
2017-01-12,5394.46513270357
2017-01-13,5313.3430163526
2017-01-14,5236.24583775312
2017-01-15,5163.82822501891
2017-01-16,5096.80500958288
2017-01-17,5035.95167426519
2017-01-18,4982.10383934303
2017-01-19,4936.15563259325
2017-01-20,4899.05680993883
2017-01-21,4871.80852439152
2017-01-22,4855.45768227831
2017-01-23,4851.0898762429
2017-01-24,4859.82094227915
2017-01-25,4882.78725023845
2017-01-26,4921.13490024354
2017-01-27,4976.00805711251
2017-01-28,5048.53670693192
2017-01-29,5139.82416023669
2017-01-30,5250.9346514118
2017-01-31,5382.88139152137
2017-02-01,5536.61542069553
2017-02-02,5713.01557684769
2017-02-03,5912.87985167445
2017-02-04,6136.9183457192
2017-02-05,6385.74796580435
2017-02-06,6659.88893495029
2017-02-07,6959.76311165767
2017-02-08,7285.69404644437
2017-02-09,7637.90864237398
2017-02-10,8016.54023561962
2017-02-11,8421.63287339909
2017-02-12,8853.14654038187
2017-02-13,9310.96307041278
2017-02-14,9794.89247692943
2017-02-15,10304.6794410373
